wallet,network,token,value,from,to,hash,timestamp,price_usd,value_usd
0xb90839A51511042c69553AC4e60aa184449f5bc7,polygon,aPolUSDCn,24.993938,0x0000000000000000000000000000000000000000,0xb90839a51511042c69553ac4e60aa184449f5bc7,0xef443d857a43e0991757ba2544e6c1495307d95ee593dbf2c26d264c110e8cb1,2025-01-17T21:03:20.000000,0.999943206502137,24.99251850683561
0xb90839A51511042c69553AC4e60aa184449f5bc7,polygon,aPolUSDCn,24.993937,0xb90839a51511042c69553ac4e60aa184449f5bc7,0x0000000000000000000000000000000000000000,0x3f3451f946dfcde2d1ddb84343e4d23b1ba35edd727badd2492dc7f96eaa4fd0,2025-01-17T22:32:10.000000,0.999943206502137,24.9925175068924
0xb90839A51511042c69553AC4e60aa184449f5bc7,polygon,aPolUSDCn,1e-6,0xb90839a51511042c69553ac4e60aa184449f5bc7,0x0000000000000000000000000000000000000000,0xdd0e6ba373090573041b4962daae2dac70706295fd3857a37cce9430fde901e6,2025-01-17T22:41:00.000000,0.999943206502137,9.99943206502137e-7
0xb90839A51511042c69553AC4e60aa184449f5bc7,polygon,aPolUSDCn,24.989201,0x0000000000000000000000000000000000000000,0xb90839a51511042c69553ac4e60aa184449f5bc7,0x9fcaca374f62ffb243117b8b7f7909b166e1fdb44561aa786b32321da2f17fd5,2025-01-17T23:10:05.000000,0.999943206502137,24.98778177586641
0xb90839A51511042c69553AC4e60aa184449f5bc7,polygon,aPolUSDCn,24.989199,0xb90839a51511042c69553ac4e60aa184449f5bc7,0x0000000000000000000000000000000000000000,0x167df1c9f5e2e3f8be63ccdd71a65056103fc4a272dbc3d48645f670226e7cf7,2025-01-17T23:26:37.000000,0.999943206502137,24.987779775979995
0xb90839A51511042c69553AC4e60aa184449f5bc7,polygon,aPolUSDCn,24.98926,0x0000000000000000000000000000000000000000,0xb90839a51511042c69553ac4e60aa184449f5bc7,0x501ba21e8c4f61d86b10ba28ee1b06d8002cbdbe1747c9bac18c0a4bd96ad4ac,2025-01-17T23:35:33.000000,0.999943206502137,24.987840772515593
0xb90839A51511042c69553AC4e60aa184449f5bc7,polygon,aPolUSDCn,24.98926,0xb90839a51511042c69553ac4e60aa184449f5bc7,0x0000000000000000000000000000000000000000,0x66bdffd2256a6a4a6260a5c2b626c7653ed791ddd1307c444d0ba9a480743513,2025-01-18T02:17:21.000000,0.999943206502137,24.987840772515593
0xb90839A51511042c69553AC4e60aa184449f5bc7,polygon,aPolUSDCn,2e-6,0xb90839a51511042c69553ac4e60aa184449f5bc7,0x0000000000000000000000000000000000000000,0xdcedadae696575b1ad0e7b72770249888dde5f7db6d36ab11ebff34e4eb63aec,2025-01-18T02:26:23.000000,0.999943206502137,1.999886413004274e-6
0xb90839A51511042c69553AC4e60aa184449f5bc7,polygon,aPolUSDCn,24.982453,0x0000000000000000000000000000000000000000,0xb90839a51511042c69553ac4e60aa184449f5bc7,0xfd321a58afc8e47dd2358ec8a10794e66140b2b1d6609d97c9954a18fae34041,2025-01-18T09:57:30.000000,0.999943206502137,24.98103415910893
0xb90839A51511042c69553AC4e60aa184449f5bc7,polygon,aPolUSDCn,24.982452,0xb90839a51511042c69553ac4e60aa184449f5bc7,0x0000000000000000000000000000000000000000,0xbf424b57a3ad43aa7654e3115b2c2eecdba86624946c10be5bf793599ffece88,2025-01-18T18:22:26.000000,0.999943206502137,24.981033159165722
0xb90839A51511042c69553AC4e60aa184449f5bc7,polygon,aPolUSDCn,1e-6,0xb90839a51511042c69553ac4e60aa184449f5bc7,0x0000000000000000000000000000000000000000,0xa9c7ea24d4b61d492ba5b0d87f8e955a0edd2a8a4228541afefc48442601478c,2025-01-18T18:31:21.000000,0.999943206502137,9.99943206502137e-7
0xb90839A51511042c69553AC4e60aa184449f5bc7,polygon,aPolUSDCn,24.986424,0x0000000000000000000000000000000000000000,0xb90839a51511042c69553ac4e60aa184449f5bc7,0x89214d6f5c8a498a846e712cda8944026a4208067f0ae475bde39e826c9f65fa,2025-01-22T01:21:39.000000,0.999993388512577,24.986258802571978
0xb90839A51511042c69553AC4e60aa184449f5bc7,polygon,aPolUSDCn,15.256539,0xb90839a51511042c69553ac4e60aa184449f5bc7,0x0000000000000000000000000000000000000000,0x41e045873f0a65a36e2ce7fc1a0e6bbc027750ddee843faff4d794ff1cbbedc8,2025-01-22T01:32:33.000000,0.999993388512577,15.256438131584284
0xb90839A51511042c69553AC4e60aa184449f5bc7,polygon,aPolUSDCn,15.256595,0x0000000000000000000000000000000000000000,0xb90839a51511042c69553ac4e60aa184449f5bc7,0x42b1c6220582bd2c758cac10fe522d75f2ecf12cc4947472a2cf82ae649ede40,2025-01-22T01:39:43.000000,0.999993388512577,15.25649413121404
0xb90839A51511042c69553AC4e60aa184449f5bc7,polygon,aPolUSDCn,15.256686,0xb90839a51511042c69553ac4e60aa184449f5bc7,0x0000000000000000000000000000000000000000,0x87e8bee9fb549ccd95fc1f0436245a34b4c59b8cc2be955cdfb35718b853d09b,2025-01-22T01:43:33.000000,0.999993388512577,15.256585130612395
0xb90839A51511042c69553AC4e60aa184449f5bc7,polygon,aPolUSDCn,15.256711,0x0000000000000000000000000000000000000000,0xb90839a51511042c69553ac4e60aa184449f5bc7,0x2ac82f6f19a48545158086643f29d22e350445196f7ce2bcd7da10840eaca999,2025-01-22T01:48:45.000000,0.999993388512577,15.256610130447108
0xb90839A51511042c69553AC4e60aa184449f5bc7,polygon,aPolUSDCn,15.256657,0xb90839a51511042c69553ac4e60aa184449f5bc7,0x0000000000000000000000000000000000000000,0xfb565aaaba1cffcb321a4aa52809d7e045636754a1dba004412d3730ff3388da,2025-01-22T01:54:26.000000,0.999993388512577,15.256556130804128
0xb90839A51511042c69553AC4e60aa184449f5bc7,polygon,aPolUSDCn,15.256685,0x0000000000000000000000000000000000000000,0xb90839a51511042c69553ac4e60aa184449f5bc7,0x748afa5ab09bc7b747fe1a325f173e29d05f9936985a048974706f31b5a4d0bb,2025-01-22T01:57:40.000000,0.999993388512577,15.256584130619006
0xb90839A51511042c69553AC4e60aa184449f5bc7,polygon,aPolUSDCn,15.256875,0xb90839a51511042c69553ac4e60aa184449f5bc7,0x0000000000000000000000000000000000000000,0x1cda023629e3174679c667c9152c1abd65e68499caf09bd11af14151651fd96d,2025-01-22T02:04:20.000000,0.999993388512577,15.256774129362825
0xb90839A51511042c69553AC4e60aa184449f5bc7,polygon,aPolUSDCn,15.256907,0x0000000000000000000000000000000000000000,0xb90839a51511042c69553ac4e60aa184449f5bc7,0xbe5fd1965ee6d12b2e8f3ed42b2de8be1f70fda9b2a0c6c4f62dd6b7ec66768e,2025-01-22T02:06:44.000000,0.999993388512577,15.256806129151256
0xb90839A51511042c69553AC4e60aa184449f5bc7,polygon,aPolUSDCn,16.991386,0xb90839a51511042c69553ac4e60aa184449f5bc7,0x0000000000000000000000000000000000000000,0xe88554d8334524afd035dcc4dfae2b6b983cb32e08b6810a6e7632d11a7e4194,2025-01-22T02:15:32.000000,0.999993388512577,16.99127366166516
0xb90839A51511042c69553AC4e60aa184449f5bc7,polygon,aPolUSDCn,16.991435,0x0000000000000000000000000000000000000000,0xb90839a51511042c69553ac4e60aa184449f5bc7,0x13aec6c23695793a072c1f9c0a3adf35309816b00e8fc00aaf32075177930a0d,2025-01-22T02:24:45.000000,0.999993388512577,16.991322661341197
0xb90839A51511042c69553AC4e60aa184449f5bc7,polygon,aPolUSDCn,16.991481,0xb90839a51511042c69553ac4e60aa184449f5bc7,0x0000000000000000000000000000000000000000,0xc6eb7d4c53dfd59cd5134eec600116266400874104a7b1653a092c337ebd3f36,2025-01-22T02:26:23.000000,0.999993388512577,16.99136866103707
0xb90839A51511042c69553AC4e60aa184449f5bc7,polygon,aPolUSDCn,16.991498,0x0000000000000000000000000000000000000000,0xb90839a51511042c69553ac4e60aa184449f5bc7,0x715d8b99d5eef95cb9cd70a8816ffefaf4936154c92f0102a582666bc3e29cc1,2025-01-22T02:33:47.000000,0.999993388512577,16.991385660924674
0xb90839A51511042c69553AC4e60aa184449f5bc7,polygon,aPolUSDCn,17.078236,0xb90839a51511042c69553ac4e60aa184449f5bc7,0x0000000000000000000000000000000000000000,0x4b0ac24f7c1dd5da36c8ec53319e3ff382346e84d7074b24799f3170634a7ee6,2025-01-22T02:37:21.000000,0.999993388512577,17.07812308745748
